Año;SemanaAño;IdCaptura;Rectangulo;RE;HKE;JAX;LEZ;MAC;OTROS;SQI;WHB
2018;2;42117;1,60E+05;'16E4';15,14;0;0;0;5,91;0;78,95
2018;2;42118;1,50E+08;'15E7';3,47;0;0;84,72;11,81;0;0
2018;2;42126;1,70E+02;'17E1';0;0;14,63;0;60,98;24,39;0
2018;2;42127;1,50E+01;'15E0';7,14;0;11,9;0;80,95;0;0
2018;2;42146;1,60E+02;'16E1';0;0;0;0;0;0;100
2018;2;42151;1,60E+02;'16E1';46,67;0;13,33;0;40;0;0
2018;2;42177;1,60E+01;'16E0';0;0;0;0;42,68;23,17;34,15
2018;2;42182;1,60E+02;'16E1';39,41;0;27,09;0;33,5;0;0
2018;2;42194;1,60E+08;'16E7';66,95;0;0;2,51;30,54;0;0
2018;2;42200;1,60E+08;'16E7';100;0;0;0;0;0;0
2018;2;42216;1,60E+08;'16E7';45,45;11,69;5,06;0;19,61;18,18;0
2018;2;42219;1,60E+02;'16E1';0;0;0;0;80;0;20
2018;2;42220;1,50E+01;'15E0';33,71;26,97;15,17;0;24,16;0;0
2018;2;42225;1,60E+02;'16E1';0;0;6,85;0;89,04;4,11;0
2018;2;42234;1,50E+01;'15E0';0;0;35,71;0;64,29;0;0
2018;2;42276;1,50E+01;'15E0';76,92;0;10,99;0;12,09;0;0
2018;2;42304;1,50E+01;'15E0';0,78;0;0;0;39,84;0;59,38
2018;2;42341;1,60E+02;'16E1';55,21;0;25,77;0;19,02;0;0
2018;2;42356;1,60E+02;'16E1';0;0;0;0;52,64;0;47,36
2018;2;42362;1,60E+02;'16E1';3,13;0;5,85;0;12,95;13,32;64,75
2018;2;42375;1,60E+05;'16E4';41,07;0;6,71;0;50,87;1,34;0
2018;2;42379;1,50E+01;'15E0';0;0;0;0;0;42,62;57,38
2018;2;42398;1,60E+05;'16E4';2,19;8,19;2,19;0;86,7;0,73;0
2018;2;42466;1,60E+04;'16E3';3,96;0;0;0;0;0;96,04
2018;2;42509;1,60E+05;'16E4';0;79,72;0;0;13,31;6,97;0
2018;2;42663;1,60E+04;'16E3';0;0;4,22;0;95,78;0;0
2018;2;42664;1,60E+04;'16E3';18,7;0;0;0;81,3;0;0
2018;2;42673;1,60E+06;'16E5';12,67;51,61;6,07;0;29,65;0;0
2018;2;42674;1,60E+05;'16E4';0;0;0;0;100;0;0
2018;2;42787;1,60E+05;'16E4';4,29;0;10,25;0;85,45;0;0
2018;2;42788;1,60E+05;'16E4';3,5;24,17;9,06;0;63,26;0;0
2018;2;42818;1,60E+03;'16E2';20,07;0;20,9;0;59,03;0;0
2018;2;42848;1,60E+03;'16E2';36,05;0;41,04;0;22,91;0;0
2018;2;42850;1,60E+05;'16E4';100;0;0;0;0;0;0
2018;2;42876;1,60E+03;'16E2';17,22;24,62;15,69;0;35,24;7,24;0
2018;2;42888;1,60E+03;'16E2';15,87;31,75;7,94;0;44,44;0;0
2018;2;42894;1,60E+05;'16E4';16,92;1,6;0;0;1,92;0;79,57
2018;2;42946;1,60E+05;'16E4';0;31,39;0;0;47,53;12,56;8,52
2018;2;42964;1,50E+08;'15E7';16,04;0;13,27;0;70,69;0;0
2018;2;42995;1,60E+05;'16E4';8,47;0;0;0;0;0;91,53
2018;2;43046;1,60E+05;'16E4';9,25;1,72;0;0;3,07;3,45;82,51
2018;2;43097;1,50E+08;'15E7';21,84;0;0;0;40,23;0;37,93
2018;2;43121;1,60E+04;'16E3';3,35;0;0;0;0;0;96,65
2018;2;43123;1,60E+07;'16E6';22,59;0;4,42;0;17,13;10,85;45,02
2018;2;43151;1,60E+04;'16E3';1,53;0,99;0;0;3,17;0;94,31
2018;2;44239;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;2;44302;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;2;44328;1,70E+03;'17E2';0;0;0;0;0;0;100
2018;2;44332;1,50E+01;'15E0';0;0;0;0;3,02;0;96,98
2018;2;44346;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;2;44347;1,50E+01;'15E0';0;0;0;0;100;0;0
2018;2;44367;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;2;44371;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;2;44376;1,60E+01;'16E0';2,12;0;0;0;0;0;97,88
2018;2;44378;1,60E+02;'16E1';0;0;0;0;0;0;100
2018;2;44389;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;2;44404;1,50E+01;'15E0';0;0;0;0;100;0;0
2018;2;44413;1,50E+01;'15E0';0;0;0;0;0;1,16;98,84
2018;2;44419;1,60E+02;'16E1';0;0;0;0;38,46;61,54;0
2018;2;44455;1,60E+02;'16E1';0;0;0;0;0;50;50
2018;2;44485;1,60E+02;'16E1';0;0;0;0;0;0;100
2018;2;44487;1,50E+01;'15E0';32,05;0;35,9;0;32,05;0;0
2018;2;44493;1,60E+02;'16E1';0;0;0;0;0;0;100
2018;2;44515;1,60E+03;'16E2';0;0;100;0;0;0;0
2018;2;44523;1,50E+01;'15E0';0;0;0;0;100;0;0
2018;2;44525;1,50E+01;'15E0';0;0;60,87;0;0;39,13;0
2018;2;44754;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;2;44755;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;2;44827;1,60E+05;'16E4';7,01;0;0;0;1,02;0;91,97
2018;2;44861;1,60E+05;'16E4';27,64;0;0;0;31,71;0;40,65
2018;2;44872;1,60E+05;'16E4';33,71;0;35,58;0;30,71;0;0
2018;2;44876;1,50E+01;'15E0';0;0;0;0;100;0;0
2018;2;44932;1,70E+03;'17E2';16,54;15,93;0;0;0;0;67,53
2018;2;45049;1,70E+03;'17E2';18,1;0;0;0;2,03;0;79,87
2018;2;45127;1,60E+05;'16E4';6,27;0;13,18;0;80,55;0;0
2018;2;45146;1,60E+04;'16E3';2,2;1,57;0;2,69;93,55;0;0
2018;2;45149;1,50E+01;'15E0';0;0;41,67;0;0;58,33;0
2018;2;45178;1,60E+02;'16E1';0;0;0;0;0;41,18;58,82
2018;2;45205;1,60E+02;'16E1';16,44;0;6,85;0;8,22;0;68,49
2018;2;45242;1,60E+04;'16E3';3,75;54,6;10,67;0;30,98;0;0
2018;2;45243;1,60E+05;'16E4';0;0;0;0;100;0;0
2018;2;45244;1,50E+01;'15E0';9,8;0;50,98;0;39,22;0;0
2018;2;45293;1,60E+04;'16E3';14,7;1,86;0;0;1,14;0;82,3
2018;2;45307;1,60E+07;'16E6';0;0;1,5;0;0;4,41;94,09
2018;2;45309;1,60E+05;'16E4';0;0;0;0;38,89;61,11;0
2018;2;45310;1,60E+05;'16E4';0;92,48;7,52;0;0;0;0
2018;2;45311;1,60E+05;'16E4';5,48;0;0;0;38,48;0;56,04
2018;2;45317;1,60E+04;'16E3';2,64;23,23;1,06;0;73,07;0;0
2018;2;45320;1,60E+04;'16E3';0;0;45,15;0;54,85;0;0
2018;2;45321;1,60E+05;'16E4';0;0;0;0;100;0;0
2018;2;45337;1,60E+05;'16E4';0,78;34,18;0;0;51,56;13,48;0
2018;2;45353;1,60E+02;'16E1';0;0;0;0;0;100;0
2018;2;45354;1,60E+04;'16E3';0;0;0;0;0;0;100
2018;2;45377;1,60E+07;'16E6';0;0;5,84;0;12,6;5,48;76,07
2018;2;45378;1,60E+02;'16E1';0;0;8,25;0;13,6;0;78,14
2018;2;45387;1,60E+03;'16E2';14,68;12,53;26,86;0;45,93;0;0
2018;2;45392;1,60E+04;'16E3';2,21;0;0;0;0;1,41;96,37
2018;2;45393;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;2;45396;1,60E+08;'16E7';40,81;0;10,58;0;29,97;18,64;0
2018;2;45405;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;2;45406;1,50E+01;'15E0';0;0;0;0;100;0;0
2018;2;45415;1,70E+03;'17E2';4,81;0;0;0;0;0;95,19
2018;2;45416;1,70E+03;'17E2';0,89;0;0;0;1,61;0;97,5
2018;2;45418;1,60E+05;'16E4';2,63;0;4,88;0;83,71;8,78;0
2018;2;45419;1,60E+05;'16E4';2,85;0;0;0;0;1;96,15
2018;2;45422;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;2;45424;1,60E+03;'16E2';8,21;0;6,01;0;85,79;0;0
2018;2;45440;1,50E+01;'15E0';0;0;29,67;0;26,71;20,77;22,85
